name,lat,lon
Marlborough Mound,51.4166526,-1.7372346
Druid's Cross,50.4214867,-4.6386914
St Michael's Mount,50.1281307,-5.5025196
"The Holy Cross, Crediton",50.7896665,-3.6521709
Durston,51.0479251,-3.0128556
Hittisleigh,50.7447605,-3.796227
"Holy Well, Doulting",51.1870416,-2.5091556
Culm Head Hill Fort,50.9445506,-3.1195056
Lane on Dartmoor,50.5552296,-3.9431262
Leedstown,50.1635426,-5.3502265
Letcombe Regis,51.5758402,-1.4526495
Lezant,50.587799,-4.348534
Mells,51.2420581,-2.3911652
Menacuddle Sacred Spring,50.3454946,-4.7957361
Dunterton,50.5907534,-4.2959172
Near Glastonbury,51.1403441,-2.701757
Hopton-on-sea,52.5333493,1.7391443
Kings Hill near Glastonbury,51.1432654,-2.5822377
St. Michael Church,51.0651062,-2.9974732
Perran-ar-worthal,50.2086314,-5.1138514
Priest Hill,51.1164683,-2.8054404
"St Michael's Chapel, Roche Rock",50.4022539,-4.8283625
Syleham,52.3642634,1.2370294
Small Down Lane,51.1645171,-2.4757218
St Cleer,50.486948,-4.4715267
St Germoe,50.1157402,-5.3790817
"St Katherines, Ickleford",51.9706815,-0.2802372
St Mary's Ashby,52.5322137,1.669364
St Mary's Ditchingham,52.4781736,1.4292043
St Michael's Mount,50.1152121,-5.453124
St Michael South Elmham from St Margaret South Elmham,52.4022094,1.4054346
Stoke St Mary,50.9957138,-3.0476975
Sunrise at Clifden Hampden,51.6547667,-1.2112641
The road to Roundwood Camp,50.2244833,-5.0332189
View from Maesdown Hill,51.1645574,-2.5080559
View from Small Down Knoll,51.1638039,-2.4797666
The Dewpond on Small Down Knoll,51.1638173,-2.4754214
Wearyall Hill,51.1412057,-2.724309
Round Hill Wittenham Clump,51.6281143,-1.1828756
Tumulus and Cross Near South Fawley,51.5211243,-1.4263559
Trull,50.9937437,-3.1180733
The Way to Wistman's Wood,50.5681244,-3.9612794
Lane Near Stoke St Michael,51.2169514,-2.4813652
Trowbridge,51.3215005,-2.2074044
Trencrom Hill,50.3468845,-4.8324394
Dartmoor,50.650236,-3.9482331
Wittenham Clump Earthworks,51.6285006,-1.181159
Dorchester Abbey,51.6355197,-1.167984
Didcot Power Station,51.6236119,-1.2644577
