id,name,lat,lon,strategy,source
way/140996760,St Michael's Church,51.7480475,-1.39774,A4,osm
way/141872698,St Michael's Church,51.9168605,-0.6103017,A4,osm
way/142459446,St Michael,50.706704,-2.5265517,A4,osm
way/142817514,St Michael & All Angels,51.0361401,-1.8472844,A4,osm
way/143025383,St Michael and All Angels' Church,51.6992657,0.4641931,A4,osm
way/143137275,Saint Michael & All Angels,50.8778947,-1.8808423,A4,osm
way/143263765,St Michael and St George,50.7264155,-2.9398557,A4,osm
way/143263767,St Michael the Archangel,50.7257042,-2.9316924,A4,osm
way/143311290,Saint Michael,52.4751631,1.1736712,A4,osm
way/143328889,"Saint Michael, Great Sampford",51.9923655,0.3906917,A4,osm
way/143486345,St Michael's Church Porthilly,50.5416155,-4.9131167,A4,osm
way/143681116,Saint Michael's Church,52.472043,1.1874514,A4,osm
way/143779816,Saint Michael's Church,52.6748404,-6.2897194,A4,osm
way/144024754,"St Michael the Archangel, Woodham Walter",51.7299067,0.6180499,A4,osm
way/144588110,St Michael's Church,52.8970463,-1.3175624,A4,osm
way/144630532,"St Michael's,Stowe Nine Churches",52.2137034,-1.0663441,A4,osm
way/145183701,"St Michael, Aveley",51.4980065,0.2569591,A4,osm
way/145482410,"St Michael and All Angels, Copford",51.8692939,0.8093007,A4,osm
way/146420927,"St Michael, Ramsey",51.9282483,1.2248373,A4,osm
way/146590007,"St. Michael And All Angels, Claverdon",52.2789888,-1.7107688,A4,osm
way/146810901,"St Michael, Fobbing",51.5278716,0.4752581,A4,osm
way/147607784,"St Michael, Theydon Mount",51.6720584,0.1572618,A4,osm
way/147770275,Our Lady and Saint Michael,52.0664453,-1.6297823,A4,osm
way/147981336,St Michael's Church,50.719836,-2.0098568,A4,osm
way/148010286,Saint Michael and All Angels,50.6994073,-2.5852042,A4,osm
way/148045428,St Michael,50.6670626,-2.3284097,A4,osm
way/148345800,St Michael and All Angels,50.6993714,-3.5329618,A4,osm
way/148894612,"St Michael and All Angels, Loughton",51.639094,0.060167,A4,osm
way/149358507,Saint Michael and Saint Wulfad's,52.9016654,-2.143311,A4,osm
way/149362701,St Michael de Rupe,50.6032295,-4.1623325,A4,osm
way/150411189,"St Michael’s, Rayleigh",51.5945501,0.5973606,A4,osm
way/150907265,St Mary and St Michael (Trumpington Parish Church),52.1739509,0.1084818,A4,osm
way/150928303,Myland Saint Michael's,51.9108252,0.8920237,A4,osm
way/150997743,"St Michael and All Angels, Westcliff",51.543148,0.6699488,A4,osm
way/151096703,St Michael & All Angels,53.2799096,-3.8317602,A4,osm
way/151294752,Saint Michael's Church,53.3399263,-6.3161251,A4,osm
way/151528204,Saint Michael and All Angels,52.2145673,-2.5207376,A4,osm
way/152177446,St Michael,52.282467,-2.3393306,A4,osm
way/152536884,"St Michael the Archangel, Laxton",53.1958233,-0.9207736,A4,osm
way/155032499,St Michael & All Angels,52.7238248,-2.9511068,A4,osm
way/156265417,St Michael's,52.4119672,-1.4749426,A4,osm
way/156358443,St Michael and All Angels,52.4344344,-2.0039456,A4,osm
way/156778688,"St Michael and All Angels, Butcombe",51.3538676,-2.6973304,A4,osm
way/156889901,St Michael and All Angels,51.6884801,-4.1317219,A4,osm
way/157309817,St Michael's,51.3794896,0.5212838,A4,osm
way/157707083,St Michael and All Angels' Church,53.0362717,-0.5073055,A4,osm
way/157862005,St Michael the Archangel,51.5268312,-2.5183324,A4,osm
way/160628262,St Michael Paternoster Royal,51.5111967,-0.092077,A4,osm
way/164039944,St Michael,50.2444134,-4.8572031,A4,osm
way/164380533,St. Michael and All Angels with St. James,51.3782756,-0.1011161,A4,osm
way/165069521,Saint Michael and All Angels,52.0539066,-1.2194893,A4,osm
way/165944701,St Michael's Church,51.7529274,-0.3560585,A4,osm
way/166436974,St Michael's Cornhill,51.5132207,-0.0854215,A4,osm
way/167591552,"St Michael's, Chesterton",52.5451629,-0.3403488,A4,osm
way/168255637,St Michael's,51.9044604,-2.0561026,A4,osm
way/170871089,St Michael,51.4807836,-1.6214255,A4,osm
way/171288325,St Michael's,51.4718103,-0.1172108,A4,osm
way/171667265,St Michael,52.0771104,-2.0671469,A4,osm
way/172919510,St Michael's Healing Centre,52.4631823,-1.8123776,A4,osm
way/173602571,St Michael's,50.7461265,-3.0280709,A4,osm
way/174640568,Saint Michael,51.8221459,-1.321807,A4,osm
way/175306971,St Michael and All Angels' Church,50.7238324,-3.5375545,A4,osm
way/175418217,"St Michael, Framlingham",52.2223644,1.3445422,A4,osm
way/175516023,St Michael and All Angels' Church,50.9524952,-4.1440281,A4,osm
way/176085822,Saint Michael and all Angels,52.8769584,-0.7556529,A4,osm
way/176380181,Saint Michael,51.9903269,-1.3712569,A4,osm
way/177944731,Saint Michael,51.0527639,-1.1711263,A4,osm
way/178539385,St Michael's Church,50.909074,-0.5394161,A4,osm
way/179213938,St Michael,52.4153474,-2.5585183,A4,osm
way/179646434,St Michael's,52.0233397,-0.7118524,A4,osm
way/181348610,St Michael & All Angels,53.1080171,-1.3408467,A4,osm
way/183035439,"St Michael & All Angels, Kingsnorth",51.1173448,0.8650258,A4,osm
way/185245245,Saint Michael's,51.4541925,-0.166953,A4,osm
