lat,lon
50.4200306,-4.6378398
50.420692,-4.6381751
50.4214696,-4.638682
50.4229563,-4.6394598
50.4239338,-4.6403825
50.4248907,-4.6418309
50.4251846,-4.6424639
50.425417,-4.6426034
50.4262646,-4.6424532
50.4268661,-4.6418953
50.4281373,-4.6412408
50.4299075,-4.6400714
50.4308917,-4.6387947
50.433475,-4.6358442
50.4341379,-4.6342564
50.4368577,-4.6271753
50.4383269,-4.6215427
50.4390512,-4.616189
50.4393519,-4.6129704
50.4416067,-4.6034861
50.4436019,-4.5980036
50.4467242,-4.5927787
50.4483708,-4.5881869
50.4500172,-4.5834875
50.453064,-4.5805478
50.4619983,-4.5763206
50.4681448,-4.5740032
50.4722556,-4.5742607
50.4742085,-4.573617
50.4765437,-4.5717287
50.4782984,-4.5684135
50.4794386,-4.5660853
50.4799301,-4.564122
50.4801725,-4.5629472
50.4805241,-4.5618582
50.4812477,-4.5605385
50.4814355,-4.5602113
50.4816096,-4.55997
50.4820226,-4.5592082
50.4824015,-4.5584357
50.4828077,-4.5578831
50.4831662,-4.5573628
50.4840605,-4.5566654
50.484668,-4.5559144
50.4860128,-4.5539724
50.488402,-4.5517302
50.4911801,-4.5494127
50.4918763,-4.5484793
50.4922859,-4.5475996
50.4926272,-4.5460975
50.493023,-4.5437694
50.4930572,-4.54216
50.492791,-4.5397782
50.4925521,-4.5374393
50.4925316,-4.5366132
50.4923814,-4.5330298
50.49232,-4.5310556
50.4922381,-4.527322
50.4923371,-4.5258844
50.4925589,-4.5244468
50.4935486,-4.5199621
50.4937806,-4.5185351
50.4946305,-4.5135892
50.4950895,-4.5107514
50.4956303,-4.508171
50.4979916,-4.5002961
50.5015813,-4.4867348
50.5032054,-4.4810057
50.50442,-4.4767141
50.5064945,-4.4700408
50.5082139,-4.4650841
50.5088007,-4.4638824
50.5097286,-4.4622087
50.5108203,-4.4606638
50.5115708,-4.4600844
50.5124509,-4.4596123
50.5135084,-4.4593334
50.5146733,-4.458899
50.5157461,-4.4584644
50.5163362,-4.4582016
50.516865,-4.457944
50.5180792,-4.457944
50.5194435,-4.458046
50.5221516,-4.4590599
50.523804,-4.459481
50.5245355,-4.4591672
50.5257394,-4.459076
50.5261248,-4.4593119
50.5261248,-4.4593119
50.526742,-4.4594836
50.5276833,-4.4593978
50.5301795,-4.4591188
50.5313661,-4.4589686
50.5322663,-4.4583249
50.5324982,-4.4579601
50.5336575,-4.4563937
50.5347077,-4.4537544
50.5360034,-4.4509435
50.5364398,-4.4483256
50.5363716,-4.4466305
50.5355124,-4.4431114
50.5343395,-4.4389915
50.5331393,-4.435451
50.5323073,-4.4338417
50.5306296,-4.4326615
50.5289518,-4.4315672
50.5276287,-4.4304729
50.5269876,-4.4292712
50.5255962,-4.4265461
50.5237819,-4.4252157
50.5232089,-4.4249797
50.5202212,-4.4231129
50.5174652,-4.4194007
50.5163464,-4.4159675
50.5154596,-4.411397
50.5152549,-4.4096375
50.5155141,-4.4089293
50.5168376,-4.4069982
50.5181747,-4.4064617
50.520685,-4.4031143
50.5230179,-4.4006896
50.525528,-4.3989301
50.5266466,-4.3973637
50.5274377,-4.396162
50.5293474,-4.3938661
50.5321299,-4.3919563
50.5364398,-4.3916988
50.5404766,-4.393158
50.5426584,-4.3940592
50.544622,-4.3947244
50.5457402,-4.3946815
50.5474855,-4.3945527
50.5487808,-4.3939304
50.5502942,-4.3920207
50.5511123,-4.3902397
50.5515077,-4.3886089
50.551644,-4.3876648
50.5516031,-4.3857121
50.5514395,-4.3838882
50.5513031,-4.3820751
50.5511395,-4.3802726
50.549408,-4.376303
50.5464083,-4.3715072
50.5428221,-4.3673015
50.542563,-4.3659711
50.5426175,-4.3642545
50.5429448,-4.3625808
50.543313,-4.3606925
50.5445811,-4.3580317
50.5451061,-4.3571735
50.5456856,-4.3563366
50.5461765,-4.3561006
50.546981,-4.3553925
50.5477036,-4.3553603
50.5484127,-4.3557143
50.5501033,-4.3564653
50.5513849,-4.3562508
50.5518758,-4.3559504
50.5524075,-4.3544698
50.5524893,-4.353869
50.5522302,-4.3523455
50.5515349,-4.3502212
50.5506214,-4.3480325
50.5497352,-4.345758
50.5489853,-4.3443418
50.5485081,-4.3434405
50.5478536,-4.3422818
50.546981,-4.3409514
50.5457402,-4.3382907
50.5446357,-4.3361449
50.5446357,-4.3361449
50.5441039,-4.3355441
50.5417312,-4.3344498
50.5396992,-4.3337846
50.5372717,-4.33254
50.5351851,-4.3308449
50.5341349,-4.3289781
50.5333166,-4.3264246
50.5328119,-4.3230987
50.5331665,-4.321425
50.5335212,-4.3200946
50.5348714,-4.3171549
50.5361398,-4.3154812
50.5373127,-4.3147087
50.5381582,-4.3146229
50.5396038,-4.3146873
50.5417312,-4.3153524
50.5423448,-4.3155456
50.5436812,-4.3157387
50.544622,-4.3153739
50.5451266,-4.3147302
50.5456038,-4.31458
50.5462311,-4.3153739
50.5469537,-4.3155026
50.5477309,-4.3156314
50.5490808,-4.3152237
50.5500897,-4.3143868
50.5506623,-4.3135929
50.5510305,-4.311254
50.5510305,-4.3084002
50.5509896,-4.3035507
50.5504578,-4.2990661
50.5501715,-4.2971563
50.5501715,-4.2956114
50.5503351,-4.2931867
50.5507032,-4.2905045
50.5509623,-4.2892385
50.551344,-4.2867279
50.5513168,-4.2844105
50.5516031,-4.2825007
50.5522848,-4.2806554
50.5526665,-4.2795396
50.5529937,-4.2790461
50.5544252,-4.2781878
50.5567019,-4.2773294
