lat,lon
52.4802842,1.4332223
52.4795001,1.4316988
52.4788728,1.430583
52.4781017,1.429081
52.477579,1.4279652
52.4770823,1.4264631
52.4766118,1.4246392
52.476076,1.4234376
52.4756316,1.4224291
52.4752264,1.4208412
52.4745991,1.4189315
52.4743115,1.4175797
52.4738802,1.4162064
52.4733966,1.4145541
52.4731221,1.4133954
52.4725601,1.4122367
52.4720503,1.4113355
52.4714491,1.4104128
52.4707824,1.4091897
52.4702596,1.4081812
52.4696975,1.4074302
52.4690637,1.4062924
52.4684295,1.4052415
52.4677629,1.4041257
52.4669524,1.4027309
52.4662072,1.4017439
52.465619,1.4011216
52.4649653,1.4006066
52.4642855,1.4001989
52.4634619,1.399641
52.4629259,1.3991261
52.4624944,1.3987613
52.4620499,1.3982677
52.4614093,1.3977098
52.4605856,1.3972592
52.4599842,1.3969159
52.4592259,1.3962722
52.4585721,1.3956499
52.457683,1.3950491
52.4485687,1.3858867
52.4485687,1.3858867
52.4448152,1.3820887
52.44199,1.3781834
52.439374,1.3744497
52.4379089,1.3712311
52.4370063,1.3671112
52.43647,1.3641179
52.436313,1.3619936
52.4363588,1.360985
52.4364177,1.3574231
52.4363915,1.3561463
52.4363719,1.3551914
52.4363196,1.3540006
52.4362934,1.3525414
52.4362542,1.350857
52.4362117,1.3492101
52.4362215,1.3483787
52.4361495,1.3466298
52.4361233,1.3462329
52.4361233,1.3454497
52.4361365,1.3444412
52.4362869,1.3424564
52.4363261,1.3404179
52.436313,1.338197
52.4358683,1.3334763
52.4356393,1.3313627
52.4351422,1.3287556
52.4348871,1.327393
52.4340368,1.3239599
52.4327482,1.3175762
52.4327482,1.3175762
52.4323034,1.3130057
52.4320548,1.3098514
52.4316885,1.307019
52.4308446,1.3004422
52.4300204,1.2963438
52.4293139,1.2922454
52.4288036,1.2876749
52.4272074,1.2801647
52.4242371,1.2687707
52.4225689,1.2615821
52.4210704,1.2544799
52.4207499,1.2524307
52.4192645,1.2449527
52.4189374,1.2431073
52.415875,1.2238169
52.4135977,1.2120366
52.4123935,1.2067473
52.4105153,1.198411
52.4100702,1.1962759
52.4094616,1.1930037
52.4066865,1.183691
52.4052727,1.1802578
52.4045462,1.1785841
52.4040946,1.176846
52.4016988,1.1727047
52.3993029,1.1678231
52.3968284,1.1640573
52.3951786,1.1621261
52.3880813,1.1531138
52.3844405,1.149981
52.38243,1.1498094
52.3803933,1.1503673
52.3737652,1.1527061
52.3719704,1.1536342
52.3704246,1.1549485
52.3687738,1.1563754
52.3672409,1.1579955
52.3647449,1.159637
52.3637097,1.1604417
52.3628384,1.1612141
52.360958,1.1623728
52.3579472,1.1638587
52.3565925,1.1650416
52.3551461,1.1659026
52.3535406,1.1664711
52.3519089,1.1661601
52.350559,1.1645185
52.3486912,1.1610798
52.3471116,1.1572552
52.3449291,1.1500669
52.3442605,1.1475992
52.3429103,1.1381793
52.3423269,1.1344349
52.341619,1.1295748
52.3410094,1.1246181
52.3392886,1.1154126
52.3387167,1.1079456
52.3384464,1.1038685
52.3381579,1.0960686
52.3381579,1.0960686
52.3380137,1.0931611
52.3378433,1.0908222
52.3373844,1.0850286
52.33686,1.0795569
52.3364273,1.0747075
52.3366502,1.06915
52.3371878,1.0652661
52.3376991,1.0632706
52.3383874,1.0603952
